Postać A,Postać B,Siła relacji
CORALINE,MOTHER,36
CORALINE,OTHER MOTHER,24
MOTHER,OTHER MOTHER,24
CORALINE,WYBIE,20
CAT,CORALINE,18
CORALINE,OTHER FATHER,15
CORALINE,MEL,14
MOTHER,OTHER FATHER,13
OTHER FATHER,OTHER MOTHER,12
OTHER WYBIE,WYBIE,11
CORALINE,OTHER WYBIE,11
CHARLIE,CORALINE,11
CAT,MOTHER,9
MOTHER,WYBIE,8
BELDAM,CORALINE,7
OTHER MOTHER,WYBIE,7
CORALINE,TALL OTHER MOTHER,7
OTHER MOTHER,TALL OTHER MOTHER,7
CORALINE,MR. BOBINSKY,7
MOTHER,TALL OTHER MOTHER,7
CORALINE,MISS SPINK,6
MEL,MOTHER,6
CHARLIE,MEL,6
CAT,WYBIE,5
CORALINE,MISS FORCIBLE,5
OTHER MOTHER,OTHER WYBIE,5
MOTHER,OTHER WYBIE,5
OTHER FATHER,OTHER WYBIE,4
CORALINE,OTHER MR. BOBINSKY,4
MR. BOBINSKY,OTHER MR. BOBINSKY,4
OTHER FATHER,WYBIE,4
MR. BOBINSKY,WYBIE,4
MISS FORCIBLE,MISS SPINK,4
CHARLIE,MOTHER,4
WYBIE,WYBIE'S GRANDMOTHER,3
BELDAM,MOTHER,3
BELDAM,SWEET GIRL GHOST,3
BOY GHOST,CORALINE,3
CORALINE,DRAGONFLIES,3
CORALINE,WYBIE'S GRANDMOTHER,3
CORALINE,SWEET GIRL GHOST,3
OTHER MOTHER,TOY SQUID,3
MR. BOBINSKY,OTHER WYBIE,3
CONTINUE,CORALINE,3
CORALINE,TALL GIRL GHOST,3
CAT,MEL,3
MOTHER,TOY SQUID,3
BELDAM,CAT,3
CORALINE,TOY SQUID,3
CAT,WYBIE'S GRANDMOTHER,3
CAT,OTHER MOTHER,3
CAT,CHARLIE,2
OTHER FATHER,PHOTO FRIEND 1,2
MOTHER,PHOTO FRIEND 2,2
DRAGONFLIES,TOY SQUID,2
DRAGONFLIES,PHOTO FRIEND 2,2
DRAGONFLIES,PHOTO FRIEND 1,2
DRAGONFLIES,OTHER MOTHER,2
DRAGONFLIES,OTHER FATHER,2
PHOTO FRIEND 1,TOY SQUID,2
PHOTO FRIEND 2,TOY SQUID,2
CORALINE,MAGIC DRAGONFLY,2
MAGIC DRAGONFLY,MOTHER,2
MAGIC DRAGONFLY,OTHER MOTHER,2
CHARLIE,MISS SPINK,2
DRAGONFLIES,MOTHER,2
MEL,MISS SPINK,2
CORALINE,PHOTO FRIEND 2,2
CORALINE,PHOTO FRIEND 1,2
MOTHER,PHOTO FRIEND 1,2
OTHER MOTHER,PHOTO FRIEND 1,2
PHOTO FRIEND 1,PHOTO FRIEND 2,2
OTHER FATHER,TOY SQUID,2
OTHER MOTHER,PHOTO FRIEND 2,2
CONTINUE,MOTHER,2
OTHER MR. BOBINSKY,WYBIE,2
MEL,OTHER MOTHER,2
OTHER MR. BOBINSKY,OTHER WYBIE,2
SWEET GIRL GHOST,TALL GIRL GHOST,2
MOTHER,SWEET GIRL GHOST,2
OTHER FATHER,PHOTO FRIEND 2,2
CONTINUE,OTHER FATHER,2
BELDAM,BOY GHOST,2
MISS FORCIBLE,WYBIE,2
MISS SPINK,WYBIE,2
CORALINE,PANICKED,2
CORALINE,YOUNG SPINK,2
BELDAM,TALL GIRL GHOST,2
BOY GHOST,SWEET GIRL GHOST,2
BOY GHOST,TALL GIRL GHOST,2
MEL,WYBIE,2
MATCH MOVE DISSOLVE TO,OTHER MOTHER,1
MATCH MOVE DISSOLVE TO,TOY SQUID,1
MEL,TOY SQUID,1
CAT,PANICKED,1
CORALINE,JUMP CUT TO,1
BELDAM,CHARLIE,1
BELDAM,MEL,1
BELDAM,MISS FORCIBLE,1
BELDAM,MISS SPINK,1
BELDAM,MR. BOBINSKY,1
BELDAM,WYBIE,1
BELDAM,WYBIE'S GRANDMOTHER,1
CAT,MISS FORCIBLE,1
CAT,MISS SPINK,1
CAT,MR. BOBINSKY,1
CHARLIE,MISS FORCIBLE,1
MISS FORCIBLE,OTHER MISS SPINK,1
MISS FORCIBLE,OTHER WYBIE,1
MISS FORCIBLE,YOUNG FORCIBLE,1
MISS FORCIBLE,YOUNG SPINK,1
MISS SPINK,OTHER MISS FORCIBLE,1
MISS SPINK,OTHER MISS SPINK,1
MISS SPINK,OTHER WYBIE,1
MISS SPINK,YOUNG FORCIBLE,1
MISS SPINK,YOUNG SPINK,1
OTHER MISS FORCIBLE,OTHER MISS SPINK,1
OTHER MISS FORCIBLE,OTHER WYBIE,1
OTHER MISS FORCIBLE,WYBIE,1
OTHER MISS FORCIBLE,YOUNG FORCIBLE,1
OTHER MISS FORCIBLE,YOUNG SPINK,1
OTHER MISS SPINK,OTHER WYBIE,1
OTHER MISS SPINK,WYBIE,1
OTHER MISS SPINK,YOUNG FORCIBLE,1
OTHER MISS SPINK,YOUNG SPINK,1
OTHER WYBIE,YOUNG FORCIBLE,1
OTHER WYBIE,YOUNG SPINK,1
WYBIE,YOUNG FORCIBLE,1
WYBIE,YOUNG SPINK,1
YOUNG FORCIBLE,YOUNG SPINK,1
MOTHER,PANICKED,1
OTHER FATHER,PANICKED,1
OTHER MOTHER,PANICKED,1
CONTINUE,DRAGONFLIES,1
CONTINUE,MAGIC DRAGONFLY,1
CONTINUE,MATCH PULLBACK,1
CONTINUE,OTHER MOTHER,1
CONTINUE,PHOTO FRIEND 1,1
CONTINUE,PHOTO FRIEND 2,1
CONTINUE,PHOTO FRIENDS,1
CONTINUE,TOY SQUID,1
CONTINUE,TOY TANK GIRAFFE,1
CORALINE,MATCH PULLBACK,1
CORALINE,PHOTO FRIENDS,1
CORALINE,TOY TANK GIRAFFE,1
DRAGONFLIES,MAGIC DRAGONFLY,1
DRAGONFLIES,MATCH PULLBACK,1
DRAGONFLIES,PHOTO FRIENDS,1
DRAGONFLIES,TOY TANK GIRAFFE,1
MAGIC DRAGONFLY,MATCH PULLBACK,1
MAGIC DRAGONFLY,OTHER FATHER,1
MAGIC DRAGONFLY,PHOTO FRIEND 1,1
MAGIC DRAGONFLY,PHOTO FRIEND 2,1
MAGIC DRAGONFLY,PHOTO FRIENDS,1
MAGIC DRAGONFLY,TOY SQUID,1
MAGIC DRAGONFLY,TOY TANK GIRAFFE,1
MATCH PULLBACK,MOTHER,1
MATCH PULLBACK,OTHER FATHER,1
MATCH PULLBACK,OTHER MOTHER,1
MATCH PULLBACK,PHOTO FRIEND 1,1
MATCH PULLBACK,PHOTO FRIEND 2,1
MATCH PULLBACK,PHOTO FRIENDS,1
MATCH PULLBACK,TOY SQUID,1
MATCH PULLBACK,TOY TANK GIRAFFE,1
MOTHER,PHOTO FRIENDS,1
MOTHER,TOY TANK GIRAFFE,1
OTHER FATHER,PHOTO FRIENDS,1
OTHER FATHER,TOY TANK GIRAFFE,1
OTHER MOTHER,PHOTO FRIENDS,1
OTHER MOTHER,TOY TANK GIRAFFE,1
PHOTO FRIEND 1,PHOTO FRIENDS,1
PHOTO FRIEND 1,TOY TANK GIRAFFE,1
PHOTO FRIEND 2,PHOTO FRIENDS,1
PHOTO FRIEND 2,TOY TANK GIRAFFE,1
PHOTO FRIENDS,TOY SQUID,1
PHOTO FRIENDS,TOY TANK GIRAFFE,1
TOY SQUID,TOY TANK GIRAFFE,1
CAT,ENTRANCE TO OTHER ORCHARD,1
CAT,OTHER HOUSE REAPPEARS,1
CAT,OTHER ORCHARD,1
CAT,OTHER STEEP HILLSIDE TRAIL,1
CORALINE,ENTRANCE TO OTHER ORCHARD,1
